source_file,json_path,title,year,num_scenes,avg_scene_chars,status,method,error
selected_transcripts2/RocketMan _1997_ - full transcript.txt,processed3_transcripts/rocketman-1997-full-transcript-txt.json,RocketMan,1997,21.0,2213.0,ok,punct_chunk_2200,
selected_transcripts2/Saw _2004_ - full transcript.txt,processed3_transcripts/saw-2004-full-transcript-txt.json,Saw,2004,13.0,2174.0,ok,punct_chunk_2200,
selected_transcripts2/Shaun of the Dead _2004_ - full transcript.txt,processed3_transcripts/shaun-of-the-dead-2004-full-transcript-txt.json,Shaun of the Dead,2004,20.0,2290.0,ok,punct_chunk_2200,
selected_transcripts2/Se7en _1995_ - full transcript.txt,processed3_transcripts/se7en-1995-full-transcript-txt.json,Se7en,1995,24.0,2221.0,ok,punct_chunk_2200,
selected_transcripts2/Shutter Island _2010_ - full transcript.txt,processed3_transcripts/shutter-island-2010-full-transcript-txt.json,Shutter Island,2010,25.0,2279.0,ok,punct_chunk_2200,
selected_transcripts2/Sing _1989_ - full transcript.txt,processed3_transcripts/sing-1989-full-transcript-txt.json,Sing,1989,21.0,2295.0,ok,punct_chunk_2200,
selected_transcripts2/Skyfall _2012_ - full transcript.txt,processed3_transcripts/skyfall-2012-full-transcript-txt.json,Skyfall,2012,16.0,2243.0,ok,punct_chunk_2200,
selected_transcripts2/Singin_ in the Rain _1952_ - full transcript.txt,processed3_transcripts/singin-in-the-rain-1952-full-transcript-txt.json,Singin  in the Rain,1952,21.0,2341.0,ok,punct_chunk_2200,
selected_transcripts2/Speed _1994_ - full transcript.txt,processed3_transcripts/speed-1994-full-transcript-txt.json,Speed,1994,18.0,2294.0,ok,punct_chunk_2200,
selected_transcripts2/Taken _2008_ - full transcript.txt,processed3_transcripts/taken-2008-full-transcript-txt.json,Taken,2008,1.0,0.0,ok,headings_or_brackets,
selected_transcripts2/Step Brothers _2008_ - full transcript.txt,processed3_transcripts/step-brothers-2008-full-transcript-txt.json,Step Brothers,2008,30.0,2276.0,ok,punct_chunk_2200,
"selected_transcripts2/Synecdoche, New York _2008_ - full transcript.txt",processed3_transcripts/synecdoche-new-york-2008-full-transcript-txt.json,"Synecdoche, New York",2008,25.0,2291.0,ok,punct_chunk_2200,
selected_transcripts2/Texas Chainsaw Massacre _2022_ - full transcript.txt,processed3_transcripts/texas-chainsaw-massacre-2022-full-transcript-txt.json,Texas Chainsaw Massacre,2022,8.0,2223.0,ok,punct_chunk_2200,
selected_transcripts2/Superbad _2007_ - full transcript.txt,processed3_transcripts/superbad-2007-full-transcript-txt.json,Superbad,2007,34.0,2301.0,ok,punct_chunk_2200,
selected_transcripts2/Terms of Endearment _1983_ - full transcript.txt,processed3_transcripts/terms-of-endearment-1983-full-transcript-txt.json,Terms of Endearment,1983,27.0,2223.0,ok,punct_chunk_2200,
selected_transcripts2/The Act of Killing _2012_ - full transcript.txt,processed3_transcripts/the-act-of-killing-2012-full-transcript-txt.json,The Act of Killing,2012,17.0,2162.0,ok,punct_chunk_2200,
selected_transcripts2/The 40-Year-Old Virgin _2005_ - full transcript.txt,processed3_transcripts/the-40-year-old-virgin-2005-full-transcript-txt.json,The 40-Year-Old Virgin,2005,39.0,2284.0,ok,punct_chunk_2200,
selected_transcripts2/The Big Sick _2017_ - full transcript.txt,processed3_transcripts/the-big-sick-2017-full-transcript-txt.json,The Big Sick,2017,36.0,2285.0,ok,punct_chunk_2200,
selected_transcripts2/The Bourne Identity _1988_ - full transcript.txt,processed3_transcripts/the-bourne-identity-1988-full-transcript-txt.json,The Bourne Identity,1988,28.0,2296.0,ok,punct_chunk_2200,
selected_transcripts2/The Bridges of Madison County _1995_ - full transcript.txt,processed3_transcripts/the-bridges-of-madison-county-1995-full-transcript-txt.json,The Bridges of Madison County,1995,1.0,0.0,ok,headings_or_brackets,
selected_transcripts2/The Avengers _1942_ - full transcript.txt,processed3_transcripts/the-avengers-1942-full-transcript-txt.json,The Avengers,1942,140.0,408.0,ok,headings_or_brackets,
selected_transcripts2/The Bucket List _2007_ - full transcript.txt,processed3_transcripts/the-bucket-list-2007-full-transcript-txt.json,The Bucket List,2007,3.0,6025.0,ok,headings_or_brackets,
selected_transcripts2/The Breakfast Club _1985_ - full transcript.txt,processed3_transcripts/the-breakfast-club-1985-full-transcript-txt.json,The Breakfast Club,1985,20.0,2190.0,ok,punct_chunk_2200,
selected_transcripts2/The Cabin in the Woods _2012_ - full transcript.txt,processed3_transcripts/the-cabin-in-the-woods-2012-full-transcript-txt.json,The Cabin in the Woods,2012,14.0,2232.0,ok,punct_chunk_2200,
selected_transcripts2/The Butterfly Effect _2004_ - full transcript.txt,processed3_transcripts/the-butterfly-effect-2004-full-transcript-txt.json,The Butterfly Effect,2004,21.0,2218.0,ok,punct_chunk_2200,
selected_transcripts2/The Dark Knight _2008_ - full transcript.txt,processed3_transcripts/the-dark-knight-2008-full-transcript-txt.json,The Dark Knight,2008,1.0,0.0,ok,headings_or_brackets,
selected_transcripts2/The Boys in Company C _1978_ - full transcript.txt,processed3_transcripts/the-boys-in-company-c-1978-full-transcript-txt.json,The Boys in Company C,1978,40.0,2282.0,ok,punct_chunk_2200,
selected_transcripts2/The Constant Gardener _2005_ - full transcript.txt,processed3_transcripts/the-constant-gardener-2005-full-transcript-txt.json,The Constant Gardener,2005,25.0,2302.0,ok,punct_chunk_2200,
selected_transcripts2/The Deer Hunter _1978_ - full transcript.txt,processed3_transcripts/the-deer-hunter-1978-full-transcript-txt.json,The Deer Hunter,1978,20.0,2220.0,ok,punct_chunk_2200,
selected_transcripts2/The Curious Case of Benjamin Button _2008_ - full transcript.txt,processed3_transcripts/the-curious-case-of-benjamin-button-2008-full-transcript-txt.json,The Curious Case of Benjamin Button,2008,29.0,2263.0,ok,punct_chunk_2200,
selected_transcripts2/The Edge of Seventeen _2016_ - full transcript.txt,processed3_transcripts/the-edge-of-seventeen-2016-full-transcript-txt.json,The Edge of Seventeen,2016,21.0,2222.0,ok,punct_chunk_2200,
selected_transcripts2/The Exorcist _1973_ - full transcript.txt,processed3_transcripts/the-exorcist-1973-full-transcript-txt.json,The Exorcist,1973,21.0,2179.0,ok,headings_or_brackets,
selected_transcripts2/The English Patient _1996_ - full transcript.txt,processed3_transcripts/the-english-patient-1996-full-transcript-txt.json,The English Patient,1996,69.0,396.0,ok,headings_or_brackets,
selected_transcripts2/The Departed _2006_ - full transcript.txt,processed3_transcripts/the-departed-2006-full-transcript-txt.json,The Departed,2006,34.0,2241.0,ok,punct_chunk_2200,
selected_transcripts2/The Fountain _2006_ - full transcript.txt,processed3_transcripts/the-fountain-2006-full-transcript-txt.json,The Fountain,2006,10.0,2172.0,ok,punct_chunk_2200,
selected_transcripts2/The Fast and the Furious _1954_ - full transcript.txt,processed3_transcripts/the-fast-and-the-furious-1954-full-transcript-txt.json,The Fast and the Furious,1954,20.0,1820.0,ok,headings_or_brackets,
selected_transcripts2/The Fall _1999_ - full transcript.txt,processed3_transcripts/the-fall-1999-full-transcript-txt.json,The Fall,1999,59.0,482.0,ok,headings_or_brackets,
selected_transcripts2/The Fault in Our Stars _2014_ - full transcript.txt,processed3_transcripts/the-fault-in-our-stars-2014-full-transcript-txt.json,The Fault in Our Stars,2014,27.0,2222.0,ok,punct_chunk_2200,
selected_transcripts2/The Girl with the Dragon Tattoo _2009_ - full transcript.txt,processed3_transcripts/the-girl-with-the-dragon-tattoo-2009-full-transcript-txt.json,The Girl with the Dragon Tattoo,2009,1.0,50200.0,ok,headings_or_brackets,
selected_transcripts2/The Game _1997_ - full transcript.txt,processed3_transcripts/the-game-1997-full-transcript-txt.json,The Game,1997,21.0,2265.0,ok,punct_chunk_2200,
selected_transcripts2/The Grand Budapest Hotel _2014_ - full transcript.txt,processed3_transcripts/the-grand-budapest-hotel-2014-full-transcript-txt.json,The Grand Budapest Hotel,2014,22.0,2217.0,ok,punct_chunk_2200,
selected_transcripts2/The Guardians of Justice _2022_ - full transcript.txt,processed3_transcripts/the-guardians-of-justice-2022-full-transcript-txt.json,The Guardians of Justice,2022,6.0,2093.0,ok,punct_chunk_2200,
selected_transcripts2/The Greatest Showman _2017_ - full transcript.txt,processed3_transcripts/the-greatest-showman-2017-full-transcript-txt.json,The Greatest Showman,2017,25.0,2329.0,ok,punct_chunk_2200,
selected_transcripts2/The Green Mile _1999_ - full transcript.txt,processed3_transcripts/the-green-mile-1999-full-transcript-txt.json,The Green Mile,1999,27.0,2301.0,ok,punct_chunk_2200,
selected_transcripts2/The Handmaiden _2016_ - full transcript.txt,processed3_transcripts/the-handmaiden-2016-full-transcript-txt.json,The Handmaiden,2016,18.0,2317.0,ok,punct_chunk_2200,
selected_transcripts2/The Human Centipede II _Full Sequence_ _2011_ - full transcript.txt,processed3_transcripts/the-human-centipede-ii-full-sequence-2011-full-transcript-txt.json,The Human Centipede II  Full Sequence,2011,4.0,1823.0,ok,punct_chunk_2200,
selected_transcripts2/The Hangover _2009_ - full transcript.txt,processed3_transcripts/the-hangover-2009-full-transcript-txt.json,The Hangover,2009,29.0,2305.0,ok,punct_chunk_2200,
selected_transcripts2/The Illusionist _2006_ - full transcript.txt,processed3_transcripts/the-illusionist-2006-full-transcript-txt.json,The Illusionist,2006,15.0,2209.0,ok,punct_chunk_2200,
selected_transcripts2/The Last House on the Left _1972_ - full transcript.txt,processed3_transcripts/the-last-house-on-the-left-1972-full-transcript-txt.json,The Last House on the Left,1972,14.0,2191.0,ok,punct_chunk_2200,
selected_transcripts2/The Machinist _2004_ - full transcript.txt,processed3_transcripts/the-machinist-2004-full-transcript-txt.json,The Machinist,2004,11.0,2237.0,ok,punct_chunk_2200,
selected_transcripts2/The Intouchables _2011_ - full transcript.txt,processed3_transcripts/the-intouchables-2011-full-transcript-txt.json,The Intouchables,2011,119.0,354.0,ok,headings_or_brackets,
selected_transcripts2/The Lego Movie _2014_ - full transcript.txt,processed3_transcripts/the-lego-movie-2014-full-transcript-txt.json,The Lego Movie,2014,26.0,2240.0,ok,punct_chunk_2200,
selected_transcripts2/The Matrix _1999_ - full transcript.txt,processed3_transcripts/the-matrix-1999-full-transcript-txt.json,The Matrix,1999,1.0,0.0,ok,headings_or_brackets,
selected_transcripts2/The Internship _2013_ - full transcript.txt,processed3_transcripts/the-internship-2013-full-transcript-txt.json,The Internship,2013,45.0,2296.0,ok,punct_chunk_2200,
